Gene	cluster
AT4G16980	1
AT2G15620	1
AT5G14760	1
AT4G30420	1
AT5G62430	1
AT5G61570	1
AT1G10300	1
AT3G24300	1
AT5G42760	1
AT2G21080	1
AT5G23750	1
AT4G28250	1
AT3G25670	1
AT3G21670	1
AT5G66740	1
AT5G58780	1
AT3G06460	1
AT1G62180	1
AT4G27360	1
AT1G05000	1
AT3G44990	1
AT3G29030	1
AT4G13235	1
AT5G45210	1
AT1G58370	1
AT3G16920	1
AT3G21550	1
AT2G27420	1
AT5G03260	1
AT5G10600	1
AT3G14810	1
AT4G08160	1
AT5G04200	1
AT3G14940	1
AT3G13784	1
AT3G52970	1
AT5G60770	1
AT3G20160	1
AT5G05270	1
AT5G10230	1
AT1G18870	1
AT5G06730	1
AT5G51500	1
AT1G01520	1
AT1G74660	1
AT3G14780	1
AT5G51890	1
AT3G24020	1
AT4G35090	1
AT3G01500	1
AT2G18800	1
AT1G20850	1
AT1G21140	1
AT3G28220	1
AT1G57590	1
AT1G75280	1
AT1G55960	1
AT2G37740	1
AT4G09110	1
AT4G02290	1
AT2G42820	1
AT5G04890	1
AT3G62020	1
AT5G54690	1
AT2G21650	1
AT2G15020	1
AT3G14530	1
AT1G27140	1
AT3G51895	1
AT5G50950	1
AT4G01140	1
AT3G61390	1
AT5G65730	1
AT5G10250	1
AT2G44300	1
AT5G01790	1
AT3G28007	1
AT1G72645	1
AT5G46220	1
AT2G45800	1
AT1G62400	1
AT4G28310	1
AT3G21680	1
AT4G18630	1
AT5G62100	1
AT2G37025	1
AT5G60490	1
AT3G30720	1
AT4G14940	1
AT1G78530	1
AT2G27370	1
AT5G13250	1
AT1G27940	1
AT4G00165	1
AT5G50915	1
AT3G19620	1
AT1G77960	1
AT2G03710	1
AT3G10525	1
AT4G17280	1
AT5G66390	1
AT2G32100	1
AT3G22600	1
AT2G32300	1
AT4G04760	1
AT5G13400	1
AT2G20750	1
AT4G25250	1
AT3G18660	1
AT1G65060	1
AT2G36885	1
AT2G36100	1
