Sample #	Bacteria	Treatment	Experiment	Group
MAE001	MF2	flg22minus	e1	MF2.flg22minus
MAE002	MF2	flg22minus	e1	MF2.flg22minus
MAE003	MF2	flg22minus	e1	MF2.flg22minus
MAE004	MF2	flg22plus	e1	MF2.flg22plus
MAE005	MF2	flg22plus	e1	MF2.flg22plus
MAE006	MF2	flg22plus	e1	MF2.flg22plus
MAE007	MF8	flg22minus	e1	MF8.flg22minus
MAE008	MF8	flg22minus	e1	MF8.flg22minus
MAE009	MF8	flg22minus	e1	MF8.flg22minus
MAE010	MF8	flg22plus	e1	MF8.flg22plus
MAE011	MF8	flg22plus	e1	MF8.flg22plus
MAE012	MF8	flg22plus	e1	MF8.flg22plus
MAE013	MF27	flg22minus	e1	MF27.flg22minus
MAE014	MF27	flg22minus	e1	MF27.flg22minus
MAE015	MF27	flg22minus	e1	MF27.flg22minus
MAE016	MF27	flg22plus	e1	MF27.flg22plus
MAE019	MF29	flg22minus	e1	MF29.flg22minus
MAE020	MF29	flg22minus	e1	MF29.flg22minus
MAE021	MF29	flg22minus	e1	MF29.flg22minus
MAE022	MF29	flg22plus	e1	MF29.flg22plus
MAE023	MF29	flg22plus	e1	MF29.flg22plus
MAE024	MF29	flg22plus	e1	MF29.flg22plus
MAE025	MF33	flg22minus	e1	MF33.flg22minus
MAE026	MF33	flg22minus	e1	MF33.flg22minus
MAE027	MF33	flg22minus	e1	MF33.flg22minus
MAE028	MF33	flg22plus	e1	MF33.flg22plus
MAE029	MF33	flg22plus	e1	MF33.flg22plus
MAE030	MF33	flg22plus	e1	MF33.flg22plus
MAE031	MF40	flg22minus	e1	MF40.flg22minus
MAE032	MF40	flg22minus	e1	MF40.flg22minus
MAE033	MF40	flg22minus	e1	MF40.flg22minus
MAE034	MF40	flg22plus	e1	MF40.flg22plus
MAE035	MF40	flg22plus	e1	MF40.flg22plus
MAE036	MF40	flg22plus	e1	MF40.flg22plus
MAE037	MF41	flg22minus	e1	MF41.flg22minus
MAE038	MF41	flg22minus	e1	MF41.flg22minus
MAE039	MF41	flg22minus	e1	MF41.flg22minus
MAE040	MF41	flg22plus	e1	MF41.flg22plus
MAE041	MF41	flg22plus	e1	MF41.flg22plus
MAE042	MF41	flg22plus	e1	MF41.flg22plus
MAE043	MF47	flg22minus	e1	MF47.flg22minus
MAE044	MF47	flg22minus	e1	MF47.flg22minus
MAE045	MF47	flg22minus	e1	MF47.flg22minus
MAE046	MF47	flg22plus	e1	MF47.flg22plus
MAE047	MF47	flg22plus	e1	MF47.flg22plus
MAE048	MF47	flg22plus	e1	MF47.flg22plus
MAE049	MF50	flg22minus	e1	MF50.flg22minus
MAE050	MF50	flg22minus	e1	MF50.flg22minus
MAE051	MF50	flg22minus	e1	MF50.flg22minus
MAE052	MF50	flg22plus	e1	MF50.flg22plus
MAE053	MF50	flg22plus	e1	MF50.flg22plus
MAE054	MF50	flg22plus	e1	MF50.flg22plus
MAE055	MF79	flg22minus	e1	MF79.flg22minus
MAE056	MF79	flg22minus	e1	MF79.flg22minus
MAE057	MF79	flg22minus	e1	MF79.flg22minus
MAE058	MF79	flg22plus	e1	MF79.flg22plus
MAE059	MF79	flg22plus	e1	MF79.flg22plus
MAE060	MF79	flg22plus	e1	MF79.flg22plus
MAE061	MF105	flg22minus	e1	MF105.flg22minus
MAE062	MF105	flg22minus	e1	MF105.flg22minus
MAE063	MF105	flg22minus	e1	MF105.flg22minus
MAE064	MF105	flg22plus	e1	MF105.flg22plus
MAE066	MF105	flg22plus	e1	MF105.flg22plus
MAE067	MF109	flg22minus	e1	MF109.flg22minus
MAE068	MF109	flg22minus	e1	MF109.flg22minus
MAE069	MF109	flg22minus	e1	MF109.flg22minus
MAE070	MF109	flg22plus	e1	MF109.flg22plus
MAE071	MF109	flg22plus	e1	MF109.flg22plus
MAE072	MF109	flg22plus	e1	MF109.flg22plus
MAE073	MF125	flg22minus	e1	MF125.flg22minus
MAE074	MF125	flg22minus	e1	MF125.flg22minus
MAE075	MF125	flg22minus	e1	MF125.flg22minus
MAE076	MF125	flg22plus	e1	MF125.flg22plus
MAE077	MF125	flg22plus	e1	MF125.flg22plus
MAE078	MF125	flg22plus	e1	MF125.flg22plus
MAE079	MF136	flg22minus	e1	MF136.flg22minus
