,genes,logFC,logCPM,LR,PValue,FDR
1,AT1G01010,0.128128957064907,3.89016868304608,0.505727197979937,0.476994392500322,0.884383069393565
2,AT1G01020,0.219109370888268,3.83436832953738,2.24813510522184,0.133775535493588,0.647114669719404
3,AT1G01030,-0.0886120056601515,2.30450471959556,0.0652160421073145,0.798434004875254,0.973428833651899
4,AT1G01040,-0.134717684509647,6.08811235240518,2.46332479031432,0.116531884428434,0.620569279670599
5,AT1G01050,-0.0106089564842524,6.42877900949134,0.0100424835798307,0.920175866313054,0.993852132666848
6,AT1G01060,-0.118433554238563,9.51309459359282,1.87937640952594,0.170405039786345,0.694017337632442
7,AT1G01070,0.279068741105764,4.95291077035532,2.65348320088887,0.103323272784673,0.603901312313836
9,AT1G01080,-0.218513833003171,5.35438972779414,4.23732090413287,0.0395445219335035,0.444814972690313
10,AT1G01090,-0.153835805495124,7.66790575074902,2.82728032844441,0.0926751812548323,0.581593003973117
11,AT1G01100,0.0407142678430275,7.36231148452547,0.128003950024272,0.720510655650886,0.958684796132303
12,AT1G01110,-0.278659120722606,2.79534112629243,1.33416370867723,0.248065838336086,0.765799869941269
14,AT1G01120,-0.508358825891177,6.37237770352231,7.99614677078927,0.0046877001057087,0.203636382255981
15,AT1G01130,0.809982048421866,1.14758567330669,4.2541362453585,0.0391548550609496,0.443711588681644
16,AT1G01140,-0.186071625286096,5.94455419701979,2.50033439048041,0.113822128096416,0.617949311031209
17,AT1G01150,0.164420552058431,-0.58860227328383,0.0160464176940893,0.899198064440891,0.990604533274356
18,AT1G01160,-0.0700394688192303,4.86476262892651,0.378642000094815,0.538330912396321,0.906539893645707
19,AT1G01170,-0.15131764997167,4.79692635069451,1.56003340557365,0.211660329118418,0.733698674856346
20,AT1G01180,0.024168953365614,4.57483386082941,0.0242105389431408,0.876350404734986,0.987258015980064
21,AT1G01190,-0.616664621978705,2.25336600677538,2.77505210283094,0.095743540824254,0.587573513695387
22,AT1G01200,0.627807362471678,1.0341737007975,1.85588336465202,0.173100671812979,0.695585748131813
23,AT1G01210,0.0936214742994335,2.39282810762388,0.136641527182861,0.711642883195291,0.957169462045907
24,AT1G01220,-0.0969886627278597,5.13563749018086,0.949101736078768,0.329948048089303,0.813253230452806
