,genes,logFC,logCPM,LR,PValue,FDR
1,AT1G01010,-0.517754961835106,3.75358913637483,14.4945923128551,0.000140562473376819,0.00973785579449406
2,AT1G01020,-0.0500559731929171,3.60550584401287,0.173241149423443,0.677247214516993,0.918845676834928
3,AT1G01030,0.177895252961386,2.45007555193085,0.661833130008802,0.415913524487748,0.813478059805169
4,AT1G01040,0.0251875010575697,6.23718874698868,0.0975106014517042,0.754837711876762,0.943524272086189
5,AT1G01050,-0.0561399853902741,6.43810445509007,0.586544315206773,0.443758530363598,0.826654757241325
6,AT1G01060,-0.0644676435196395,9.5796817485629,0.377824601707232,0.5387697781835,0.867149333869292
7,AT1G01070,0.291668074535699,4.41156204016319,3.53450993497553,0.0601040932962638,0.44009111047277
9,AT1G01080,0.0614870860265037,5.41363948943591,0.631795099792946,0.42669762312238,0.81884031858432
10,AT1G01090,-0.0544216858298968,7.65720081412564,0.535753786434881,0.464197842251548,0.836812854493097
11,AT1G01100,0.0992565126067436,7.24462532785822,0.933569080670654,0.33393721579757,0.763554410122061
12,AT1G01110,0.567294347287149,2.68062603977491,7.75582247390859,0.00535396542998691,0.13182196649279
14,AT1G01120,-0.526258948366116,6.92705114803787,6.63206143136659,0.01001592857121,0.19025776862104
15,AT1G01130,0.225247961312509,1.05232317945399,0.875662251519392,0.349392512650442,0.772891131549341
16,AT1G01140,-0.00508123317113195,6.09600291530448,0.00204097002342962,0.963966150170505,0.99225427988506
17,AT1G01150,-0.130136577230019,-1.56830251003116,0.0167462085844701,0.897035496139904,0.97866513754841
18,AT1G01160,0.0632061200145506,4.8252460822898,0.594165191762567,0.440812969715907,0.825511850265681
19,AT1G01170,0.0209371231174668,4.86993223121342,0.0456210152278143,0.830866201067061,0.964596527733878
20,AT1G01180,-0.245230661016227,4.82785150684741,3.2268295647003,0.0724408063737493,0.474216379984445
21,AT1G01190,-0.627818318573327,3.6658150318509,5.4739075268044,0.0193024218281858,0.272900164975999
22,AT1G01200,0.47470041809749,0.843009836097863,3.43050462503669,0.0640025423119892,0.451396472044989
23,AT1G01210,-0.133998775089188,2.36190757012412,0.640947676318067,0.423367838078398,0.817387672790111
24,AT1G01220,0.0949877169162625,5.10668669517168,1.14007508039968,0.285636463212521,0.72826411811383
25,AT1G01225,0.0175270406284971,1.70711940269321,0.00691848872575562,0.933710440320982,0.986162615253727
26,AT1G01230,-0.187806327984963,4.14818342003281,4.42550354414158,0.0354056647996924,0.358158324400635
27,AT1G01240,0.0498943456094765,5.69107899378533,0.226403741074867,0.634203317338906,0.90197716161318
28,AT1G01250,0.26182340922941,0.218664953739375,0.532516016600024,0.465550990449834,0.837461988812017
29,AT1G01260,0.0236691282110795,4.23703323878012,0.0489265561499721,0.824941784765915,0.962480276119968
31,AT1G01290,-0.0909630353088653,3.38916223058837,0.486464311260391,0.485508747784034,0.846734486065347
32,AT1G01300,0.195389051085131,5.13463308866229,2.47502359123005,0.115667707605962,0.554982463175738
35,AT1G01320,0.0677437415598681,9.04874769929358,0.655044712393781,0.418314816407217,0.814486764444779
36,AT1G01340,-0.440875231545367,4.94291125792602,13.666229936022,0.000218345876726689,0.0137350570941516
37,AT1G01350,-0.0945433756447259,4.01427941202127,0.890811848706994,0.345257399422938,0.770919697742455
38,AT1G01355,-0.618629130628602,-0.655298090054702,1.61335977787747,0.204020163252688,0.659405771374415
39,AT1G01360,-0.0705178143700092,4.45115489969644,0.374811767915702,0.540393053969978,0.867710027518258
40,AT1G01370,0.319844019600134,1.48162965375418,2.27094394589457,0.131819591784653,0.578210400403438
41,AT1G01380,-0.18683658586825,0.262246905369022,0.293603867739357,0.587920289095996,0.885345283564464
42,AT1G01390,0.0140828469328651,2.76801763293897,0.00752910726597023,0.930853993564217,0.985060106910499
45,AT1G01420,-0.127467402426188,3.97141688745434,0.942558981589951,0.331620604848818,0.762730214210628
46,AT1G01430,-0.0473884469756917,7.00873121132786,0.167571040533982,0.682279584576343,0.921914832589117
47,AT1G01440,-0.0996952449776488,5.04096586036447,1.19496953478233,0.274329429319109,0.72176094133597
48,AT1G01450,-0.0395243504746555,3.9893540119221,0.10824392336186,0.742152329967476,0.939613428271651
49,AT1G01453,0.403336583490309,0.242200537305673,1.34345859380291,0.246424957989745,0.697202304967079
51,AT1G01470,-0.060793850239045,4.76388959704471,0.453368148878624,0.500739798810698,0.852964247841393
53,AT1G01480,-0.438117630668292,0.80603608613911,1.88450548716644,0.169822952109995,0.621989765338593
54,AT1G01490,-0.0982291187100833,6.35570875832269,1.45591605427514,0.227581038687083,0.681136586069106
55,AT1G01500,-0.218887127807116,2.75591105874209,2.49440732401777,0.114251379293157,0.553097736843029
56,AT1G01510,0.152328925536067,5.68634515174237,2.71815343672768,0.0992127313052391,0.52646074867078
57,AT1G01520,-0.286673536548091,3.47561578581103,1.40061474318721,0.236620669725055,0.688559485763674
59,AT1G01540,0.011023035732668,6.80705487177485,0.0159052583812649,0.899640061865257,0.979189288420275
60,AT1G01550,-0.110877488367955,7.40601498913701,1.78728568367378,0.181257225402199,0.637201909617098
61,AT1G01560,-0.723452321383317,1.39278831212455,2.71948004286562,0.0991303025837212,0.526309506765232
62,AT1G01570,-0.407314954073579,1.60743030339136,3.39831414835689,0.0652630884319878,0.454429334926636
63,AT1G01580,-0.622700924629752,6.95258386506263,10.4633673021472,0.00121765118286526,0.0499264886270602
64,AT1G01590,-0.14610047601535,0.631101867705622,0.154113967320498,0.694634501733379,0.926109043104555
65,AT1G01600,-0.239051030111257,2.74291217639788,1.86377698957246,0.172189513703357,0.62617658188621
66,AT1G01610,-0.230469907416511,6.30751781124234,4.31027125001734,0.0378829207527656,0.36759059636831
67,AT1G01620,-0.124598020666054,9.88285957461472,1.31784551296875,0.250979080053644,0.701041784740969
68,AT1G01630,-0.122653197941443,5.4508543435763,1.23196300907445,0.267025618957911,0.715428054050851
69,AT1G01640,-0.218952358993842,3.41009434114012,2.91894769715922,0.0875449385364656,0.502688265296113
70,AT1G01650,0.00429508641503716,5.7118956611089,0.00308344719684328,0.955717189361339,0.990153139177307
71,AT1G01660,0.0201239211381487,1.70757082671196,0.00901458752234241,0.924358368807977,0.984519368377861
72,AT1G01670,-0.300357322076188,1.68100325378256,2.1529758322514,0.142293857541006,0.589898331093042
73,AT1G01680,-0.47656590358228,1.32717159310425,1.28381930680409,0.257190105792654,0.705865403897828
74,AT1G01690,0.311623665163067,2.03523524660123,2.0720069010743,0.150023991306051,0.598309986051438
75,AT1G01695,0.184182490286413,-0.867128224783337,0.0973411829149171,0.755043954335135,0.943593514587663
76,AT1G01700,0.107192906989297,1.23393777515008,0.210469962926789,0.64639930104752,0.906294039783471
77,AT1G01710,-0.0272778428492732,5.29668145659926,0.14394107364383,0.704394066239809,0.928230857849053
78,AT1G01720,-0.0876099945403283,5.14730170569037,0.759405585375967,0.383514607207663,0.793415258924099
79,AT1G01725,0.00150042884861425,2.86421538305182,0.000121295909840669,0.99121272212407,0.99842900597967
80,AT1G01730,-0.0799456529094441,4.8404940042292,0.795999398794791,0.372292181643636,0.785139470619124
81,AT1G01740,0.222488405018301,2.51663320680206,2.81788430717384,0.0932192021978349,0.512355163959528
82,AT1G01750,-0.514976120050228,3.03450545981412,12.7782739055388,0.000350668351493715,0.0195626799560928
83,AT1G01760,0.0303028513391026,2.634081421025,0.0413788143211509,0.838808463353044,0.96587517031683
84,AT1G01770,0.126191260934692,4.97465763818821,1.97875959502058,0.159521141860251,0.610120640795645
85,AT1G01780,-0.0151738362051403,3.89686410997296,0.0187604164076003,0.891055559838395,0.977945336863609
86,AT1G01790,-0.0822895163312265,8.3943435117355,0.482766580675349,0.487171834541755,0.847160252083706
87,AT1G01800,-0.0130053144953044,5.865720018861,0.0350592812133508,0.851471493293252,0.96902759818459
88,AT1G01810,0.896946200599753,-1.27654462099179,0.880919613600049,0.34794992836164,0.772563952362289
89,AT1G01820,-0.0421697546510722,5.58430600940104,0.303219497602144,0.581871089230967,0.882694596884906
90,AT1G01830,-0.0210208570466334,4.64431567682638,0.0404166287679111,0.840668177671541,0.966327947210801
91,AT1G01840,0.245962716821628,-0.142373360653069,0.283712149397086,0.594278400900813,0.887986617464543
92,AT1G01860,0.0300243851217833,3.49614585493806,0.060510764877769,0.805690469535735,0.956478258592599
93,AT1G01880,0.0775674596052163,1.10026698427936,0.0808176537114722,0.776192394851601,0.949128647517852
94,AT1G01900,0.124326116467028,2.93621370825559,0.514953964640117,0.473002150740283,0.842008031874098
95,AT1G01910,0.0675482288200539,5.21990225648749,0.773423562258607,0.37916002526777,0.790190068388857
96,AT1G01920,0.119033658749567,4.09557024182798,1.03430155781245,0.309150492388428,0.744821148783075
97,AT1G01930,0.113314630499891,4.11520948544413,1.37966531924894,0.240158163857838,0.691140709874645
98,AT1G01940,-0.063280492462152,2.45819475045357,0.155788141708801,0.693064254422873,0.925309576322576
99,AT1G01950,0.0351724459751582,4.83966650031682,0.173628515636825,0.676906960843822,0.918490105069823
100,AT1G01960,0.0516830923466349,7.24868529013898,0.413687963189028,0.520103551301565,0.858694899300101
101,AT1G01970,-0.000907780000635693,4.57652454139661,6.623298986419e-05,0.993506595651341,0.998981333869502
103,AT1G01990,0.0849618878947601,4.50211932257183,0.658302786398052,0.417159763657939,0.814294530403095
104,AT1G02000,-0.076127515028745,4.14283582175224,0.368087196638987,0.544048760397463,0.869316967214473
105,AT1G02010,0.0411585550519034,4.32178719884792,0.158663228016502,0.690390243774037,0.924355848910364
106,AT1G02020,0.0746238239077952,4.39545767963875,0.657758217524433,0.417352494125233,0.814294530403095
107,AT1G02030,-0.137046489325734,-0.643976173121955,0.0797920956407694,0.777579354170619,0.949150960388263
109,AT1G02050,0.320976263566996,3.54036293884582,9.58823499472008,0.00195828101510928,0.0696536899988284
110,AT1G02060,0.148790706595605,3.83380767154195,1.59506558335315,0.206603893653044,0.661723794483282
111,AT1G02065,0.486030130770245,1.07790102806363,3.79111756395309,0.0515252355532488,0.411871594454495
112,AT1G02070,0.321009831202027,-0.557815071143341,0.3466203451325,0.556032533964993,0.873530409612243
