,genes,logFC,logCPM,LR,PValue,FDR
1,AT1G01010,-0.185205017698576,3.72459435286224,2.46185731446647,0.116640787480014,0.505508412954894
2,AT1G01020,0.0710630056650848,3.58085157672469,0.310629763683128,0.577293994094851,0.871300272060302
3,AT1G01030,-0.406210708030221,2.3093778987615,4.73162285487681,0.029612931573135,0.257491606406435
4,AT1G01040,-0.218766068530514,6.12815747739641,9.73013223485478,0.0018127144601375,0.0429840423271307
5,AT1G01050,0.0130215963729233,6.44900587800309,0.0270364563435219,0.869394488047038,0.970515541494452
6,AT1G01060,-0.0856191998394743,9.54993400688078,2.22643672105276,0.135666405021864,0.538272902874509
7,AT1G01070,0.146485368058593,4.69360007033334,1.75449917012807,0.185312122293902,0.605212090665294
9,AT1G01080,-0.120707870655629,5.39528286431847,2.43649496467098,0.118540834919346,0.509415600943689
10,AT1G01090,-0.10994743663721,7.69748060030135,2.67379491637855,0.102012518857172,0.479998373954009
11,AT1G01100,0.210193147817856,7.3642088209401,4.91555342372969,0.0266159350408846,0.24457356173893
12,AT1G01110,0.113483311040798,2.82593485459073,0.459058292343617,0.498064410614243,0.838097685117441
14,AT1G01120,-0.380894740315009,6.76412993403819,9.95657324851452,0.00160276102296643,0.0394621729684848
15,AT1G01130,-0.399284371993587,1.20974101959509,1.79540634466751,0.180268838978336,0.599509615660792
16,AT1G01140,-0.185327496466636,5.92483602736432,3.06425411494615,0.080031883822056,0.430389625860925
17,AT1G01150,-0.53010754546007,-1.01906378896332,0.321320529510126,0.570815133771027,0.8680799688001
18,AT1G01160,0.119936975795124,4.85309279333495,2.55203414946932,0.110152352770492,0.493599850441415
19,AT1G01170,0.162899007740157,4.78677188777295,3.04669438634506,0.0809016519794751,0.432980085915903
20,AT1G01180,0.0983490162130007,4.55483107703441,0.380602028755526,0.537281216762577,0.85514494676728
21,AT1G01190,-0.536351605549357,2.8461383605899,7.66937986495055,0.00561657569897882,0.094048805878872
22,AT1G01200,0.571722406122059,0.966022716017789,3.63505553131685,0.0565747171421276,0.364550848567571
23,AT1G01210,0.0536001667079099,2.35205671287746,0.092928492844317,0.760486681660417,0.938455193862666
24,AT1G01220,-0.0194599737862508,5.11309225914232,0.0599900279522814,0.80651170242604,0.953870492943531
25,AT1G01225,0.0651174242965556,1.98510337719412,0.115502947090787,0.733964035537799,0.930736898032755
26,AT1G01230,-0.0163357714503485,4.1508754422128,0.0291870590209591,0.864347842073962,0.970188052962056
27,AT1G01240,0.13965497456492,5.64534313272873,2.93385663899196,0.086740057362273,0.446745013610988
28,AT1G01250,-0.0742581637749,0.329628357863586,0.0344885556694514,0.85267144354876,0.967602480155782
29,AT1G01260,-0.053187107316282,4.2624313778125,0.224957154216199,0.635288498831615,0.893798303960832
31,AT1G01290,0.0357065352105979,3.27692655140243,0.0753714484133514,0.78367073644654,0.945750731088365
32,AT1G01300,-0.0887244428526485,5.2970066315995,1.09760228235549,0.294792905869318,0.711848138913733
35,AT1G01320,-0.0203426580233522,8.96290392620464,0.0903042067758815,0.763790775388383,0.939924542356675
36,AT1G01340,0.00646810235981612,4.51591606365881,0.00249115543525491,0.960192932187314,0.991356021055498
37,AT1G01350,0.109224844137346,4.09771995311382,1.3052091005059,0.253263909241686,0.67556875535639
38,AT1G01355,0.0588830597775163,-0.704321123265453,0.00544606231546574,0.941171563167707,0.987766521490778
39,AT1G01360,-0.0969451378432617,4.26657066552331,0.929678050509917,0.334946597425244,0.745251936879618
40,AT1G01370,0.0682105867329057,1.81048967514755,0.0926469787533382,0.760838660412682,0.938606771536804
41,AT1G01380,-0.732084213395112,0.348706715667577,4.47193481775087,0.0344559533233055,0.281024778414239
42,AT1G01390,-0.432508765932411,2.8714387611834,5.07251436383807,0.0243081002147691,0.229637886119826
45,AT1G01420,0.119797803085387,3.78259282912338,0.596845588088211,0.439784114424154,0.805789407232294
46,AT1G01430,-0.0964891805852875,6.77677246870246,1.16764310035772,0.279886049650012,0.701152556268279
47,AT1G01440,-0.0771345645074824,4.88750848770557,0.747889263363822,0.387145326379624,0.775351324886315
48,AT1G01450,0.00832636055208388,3.85918755483344,0.00643722288333137,0.936052496714394,0.986680411959639
49,AT1G01453,2.166496098918,0.895648125096841,36.990852701604,1.18684734277385e-09,1.79714120139021e-07
51,AT1G01470,-0.13352500275887,5.09242304846994,0.874492504183056,0.34971458860953,0.754568797937071
53,AT1G01480,0.990299127483816,0.678742835373491,6.66553896183967,0.00982949240668927,0.135671879621148
54,AT1G01490,0.0281365169799829,6.26561990442841,0.161158845217717,0.688091829751435,0.914320100826341
55,AT1G01500,0.0491967656166501,2.61533666601599,0.0959075089547259,0.756797183389183,0.937811832105904
56,AT1G01510,-0.0145916323763826,5.87851071226649,0.0405563129317983,0.840396776999848,0.963319685407672
57,AT1G01520,-0.562807464436627,3.22007521369904,22.9466653857365,1.6655888563517e-06,0.000140114357800792
59,AT1G01540,-0.0386218396874431,6.78386501830721,0.253162920056825,0.614856721185905,0.887158430425767
60,AT1G01550,-0.0279367423904055,7.3116382901569,0.125151663073186,0.723512899658859,0.92731675791547
61,AT1G01560,-0.0236744319318467,0.657639505058858,0.00300398223309095,0.956290951807436,0.990693089911821
62,AT1G01570,-0.439694020188873,1.58870002083793,3.63422841759335,0.0566028356326323,0.364607569910718
63,AT1G01580,-0.870533183656991,6.24809533896106,14.4098485388059,0.000147031340614352,0.00594831562916725
64,AT1G01590,0.0287528356554559,0.306499065550285,0.00190177033205785,0.965215844953244,0.992915387339823
65,AT1G01600,-0.419408506294865,2.69913212218807,6.3028805433625,0.0120541941657387,0.151743979880936
66,AT1G01610,-0.158649882808891,6.16835974608577,5.28212291572025,0.021545462564476,0.215418495871053
67,AT1G01620,-0.181432666687083,9.79349891156494,6.09950130034888,0.0135220036613986,0.162225781334459
68,AT1G01630,-0.00834936581231997,5.36988071718771,0.0118699375247253,0.913242748900273,0.982125571417522
69,AT1G01640,-0.227880623137152,3.35632425732349,2.47698394418155,0.11552359189144,0.503388412026032
70,AT1G01650,0.0325052585967961,5.5817733133505,0.127658779867227,0.720871954412158,0.926254002963035
71,AT1G01660,0.608198374401816,1.54621255376886,6.63141216965518,0.0100195799162212,0.137302198448707
72,AT1G01670,-0.00694047925275343,1.30898843810547,0.000893128970480106,0.976158558677484,0.995841447805774
73,AT1G01680,0.291979049787515,-0.109691107473999,0.299019309396609,0.584497879803766,0.874068529834297
74,AT1G01690,0.025765870461892,2.31704070052048,0.01189724087053,0.913143420897312,0.982125571417522
75,AT1G01695,-0.0804559595209227,-0.44466006209928,0.0148435458478104,0.903030413958919,0.980049372650094
76,AT1G01700,0.109115793718219,1.49608655610156,0.150231429023592,0.698314294502625,0.918392253189475
77,AT1G01710,0.0176557081525821,5.32362358329658,0.0427624247114409,0.836173260760661,0.962444673934489
78,AT1G01720,0.12496039077396,5.54499024828617,1.40649773225815,0.235638660762165,0.660258009111224
79,AT1G01725,0.0752623990724307,2.83221140341182,0.239893863830677,0.624282782400789,0.889646964693667
80,AT1G01730,0.0380322650828029,4.8018319071665,0.159776203118819,0.689362644685793,0.915279968967185
81,AT1G01740,-0.190026672518016,2.50862031398017,0.726525634355692,0.39401168903173,0.779383577100275
82,AT1G01750,0.716303067244868,3.12066780822061,25.7299298859419,3.92689536411039e-07,3.76679886080435e-05
