,genes,logFC,logCPM,LR,PValue,FDR
1,AT1G01010,-0.553295441854783,3.68354151308841,7.60269044640984,0.00582812690028398,0.141848980664891
2,AT1G01020,0.147837126696469,3.60632948266575,0.281873059523551,0.595476167115306,0.89867944267787
3,AT1G01030,0.0379857615543203,2.5116563231929,0.0148684536439276,0.902949491601612,0.985449440506025
4,AT1G01040,0.0445967560973824,6.28099732261162,0.122670494259715,0.726155979492526,0.944805445198678
5,AT1G01050,-0.138802921627949,6.38573712309262,1.1451218111708,0.284572658597751,0.741220930916895
6,AT1G01060,-0.171962843090444,9.5512398946206,1.49819137556669,0.220949858164728,0.684522088189282
7,AT1G01070,0.400913864991463,4.61956000028188,4.76759581685686,0.0290002965024554,0.310964737256222
9,AT1G01080,-0.0602302258384664,5.46530127485973,0.20811663741565,0.648247585980762,0.920133952139684
10,AT1G01090,-0.129202608264151,7.76695806552357,0.908318278569487,0.340561022975225,0.779388309715778
11,AT1G01100,0.366083246046652,7.36190744269142,4.60375797608526,0.0319019540474468,0.325295586268314
12,AT1G01110,0.259621457940848,2.79640674645386,1.02635272944723,0.311016848729846,0.759288039636378
14,AT1G01120,-0.432871062662501,7.13277376890039,5.06785105942392,0.0243735813181812,0.287927078923198
15,AT1G01130,0.269833189040562,1.50415927747991,0.394919760228259,0.529724636785613,0.874650095429412
16,AT1G01140,-0.22931437106763,5.99584978268044,2.06295706404828,0.150917056036167,0.598433790837851
17,AT1G01150,0.64006077867832,-0.75818085649567,0.186189242462994,0.666107386059358,0.926380008992477
18,AT1G01160,-0.0333914485605212,4.77406525790104,0.0689126080915621,0.792926649934485,0.961054374723962
19,AT1G01170,-0.0134547684182421,4.741933818219,0.00541379764823091,0.941345768533583,0.994448046401725
20,AT1G01180,-0.334870657156339,4.57547316443428,2.14812675769879,0.142743956510128,0.585683270589309
21,AT1G01190,-0.194346207904972,3.07154190002576,0.46336444064703,0.496055780809116,0.860191492320975
22,AT1G01200,0.169957809621343,0.92680031339608,0.144762168764743,0.703591930933201,0.938314377444196
23,AT1G01210,0.59166917167114,2.41540582139073,2.10910028440552,0.146425384737344,0.592267073277419
24,AT1G01220,0.0655196850741051,5.17018279665392,0.296796111021993,0.585897978016926,0.894597739053951
25,AT1G01225,-0.594272167910902,1.81089322784694,2.84389235966205,0.0917217833131845,0.495817419486844
26,AT1G01230,-0.280358834591622,4.13965636500359,2.46921200846383,0.116096114749664,0.544686575646085
27,AT1G01240,0.0938332251041352,5.59817541837746,0.478229233071836,0.489225497943237,0.856540876167516
28,AT1G01250,-0.0727320415128717,0.718989920080278,0.0115900995382496,0.914267522734911,0.988112143260991
29,AT1G01260,-0.117780271236179,4.29211671776415,0.360650352671922,0.548145267976877,0.882318263921171
31,AT1G01290,0.320769775266691,3.46834978792011,1.85102162287,0.173664620312553,0.630936809941013
32,AT1G01300,0.250059100801895,5.44170611749734,4.41426989996289,0.035639526913008,0.341739522675946
35,AT1G01320,-0.184401581767654,9.0022462791741,0.900568923795495,0.3426292075779,0.779887428580453
36,AT1G01340,-0.0735180959130118,4.65145213546356,0.0707862520055116,0.790195419679374,0.960712998048325
37,AT1G01350,-0.255605626723616,3.95737606136295,1.94701314183855,0.162909077049591,0.614924994633462
38,AT1G01355,1.27555033377886,-0.38787489672089,1.39119782213461,0.238202920292355,0.701432222997353
39,AT1G01360,-0.354088717127795,4.35880120940031,4.27952921188919,0.0385740311221651,0.352318348021877
40,AT1G01370,0.228863054636114,1.78496769365853,0.383080782151133,0.535959048233475,0.876410245420831
