,genes,logFC,logCPM,LR,PValue,FDR
1,AT1G01010,-0.346211047555166,3.7323902444821,1.84476123586974,0.174393925026503,0.903736143027287
2,AT1G01020,0.0963901030935452,3.6276747146941,0.217806594723847,0.64071628935155,0.989511188760004
3,AT1G01030,-0.716906643741172,2.35970844881595,4.80240654180186,0.0284200122346156,0.635523037301283
4,AT1G01040,-0.150686090429172,6.19074061110574,1.64714131951083,0.199348459784442,0.916191968791195
5,AT1G01050,-0.0203018179667809,6.39779428568803,0.0266832316669889,0.870242846140789,1
6,AT1G01060,-0.205054567860591,9.503418411748,3.37322549498143,0.066263902500955,0.775487943134961
7,AT1G01070,-0.193912321370117,4.58783844776002,0.755013098602326,0.384893680670915,0.959610857831112
9,AT1G01080,-0.0905731164086877,5.37745432585226,0.409252094819838,0.522349356744394,0.979849925991011
10,AT1G01090,-0.144508722563799,7.70701808079027,1.015699080501,0.313541376230782,0.94584660938099
11,AT1G01100,0.214307052701838,7.30428579666482,2.65719026417034,0.103082680689562,0.837134619169804
12,AT1G01110,0.274752451416872,2.79355713824341,0.896396011752309,0.343749914491198,0.954414827569339
14,AT1G01120,-0.198813248816811,6.92829597739109,0.778823323906522,0.377501250886265,0.959610857831112
15,AT1G01130,-0.238964887734333,1.31350311684622,0.248656468337394,0.618022692111498,0.988186320892495
16,AT1G01140,-0.0844263844919464,5.97301402715596,0.29456370225985,0.587310735937434,0.987414903277621
17,AT1G01150,-1.54795165642396,-0.859375420916149,0.823603861736518,0.364128584061781,0.958933146029581
18,AT1G01160,-0.036899986859049,4.76821001968289,0.0686495601923074,0.793313261623342,1
19,AT1G01170,-0.108987328313807,4.64603089264144,0.544929546944378,0.460396911923242,0.970694875470538
20,AT1G01180,0.0293336004819672,4.63436563596818,0.0143091034665837,0.904783649059523,1
21,AT1G01190,-0.557499557117284,3.01614931654245,1.71568289416255,0.190249701046136,0.914186679891826
22,AT1G01200,-0.504212215827311,0.717114988222484,0.933574526120072,0.33393580603041,0.95360309353788
23,AT1G01210,0.320575291673692,2.3958725850632,0.7853756368003,0.375502104507878,0.959610857831112
24,AT1G01220,0.0447835272884647,5.13094006193467,0.119040529323803,0.730077451457947,0.996331911664539
25,AT1G01225,-0.37671576442822,1.8332709635465,1.14094604048093,0.285452513142843,0.941606920904603
26,AT1G01230,0.0194238103078881,4.19449090120066,0.0111424633604322,0.91593315489797,1
27,AT1G01240,0.0213179526587885,5.59403102293898,0.0294267201347553,0.863797465690023,1
28,AT1G01250,0.208582007758756,0.437190551300874,0.0865168230723761,0.768652896313912,0.999163874989434
29,AT1G01260,0.0339043266491736,4.41458163892911,0.0281021715668182,0.866868842994293,1
31,AT1G01290,0.0992588114955236,3.31992299229465,0.174300354641723,0.676317887494389,0.994096965346412
32,AT1G01300,0.108541273216882,5.38812174113564,0.412279825855254,0.520814618128339,0.979277459095875
35,AT1G01320,-0.106392811270484,9.01511531177713,0.880334841331441,0.348109985489232,0.955039395451299
36,AT1G01340,-0.34531912521581,4.73977236051054,1.42434209238641,0.232690036063124,0.935455578419376
37,AT1G01350,-0.0902316543702324,3.99191014506542,0.233867272986053,0.628671012883158,0.988714292848806
38,AT1G01355,-0.802001460576001,-0.568650741471334,0.258166079056849,0.611382891575283,0.987414903277621
39,AT1G01360,0.00535245164482582,4.32273044742797,0.000803694314232217,0.977383398848778,1
40,AT1G01370,-0.281521682015198,1.62346121697819,0.515477619956879,0.472777202120801,0.972320683143599
41,AT1G01380,-0.0275688566391681,0.543875266542942,0.00208289333719591,0.963598202202184,1
42,AT1G01390,-0.47487200845822,2.93830837390091,3.07680481756612,0.0794164010910556,0.803273708987893
45,AT1G01420,-0.00178664875825728,3.88033901682803,5.44607518264684e-05,0.994111862600142,1
46,AT1G01430,-0.0710446837336067,6.82919349333831,0.137566821624034,0.710712003483125,0.996331911664539
47,AT1G01440,0.0617453412641465,5.03039867605626,0.190370493019106,0.662608438162183,0.992262980363371
48,AT1G01450,0.229803280169793,3.90670167375063,1.5100803833619,0.219126820995098,0.927542545652377
49,AT1G01453,-1.51128491104352,0.242922379982257,2.34198902022411,0.125928671524839,0.862196220659912
51,AT1G01470,-0.131867310524769,4.94899866645382,0.319028029429566,0.572192349936374,0.986032391367159
53,AT1G01480,1.72434130930602,0.705821764602506,6.89544055393675,0.00864158640587751,0.447446280612342
54,AT1G01490,-0.160469145651189,6.24565073814894,1.54410245403522,0.214008194587441,0.925238980534135
55,AT1G01500,0.578195702158585,2.819575473575,2.71511855931206,0.0994015850373139,0.832603132944739
56,AT1G01510,-0.117230968720317,5.79827530555237,0.917801750601558,0.338052823511549,0.95360309353788
57,AT1G01520,-0.25510249656767,3.41591802703848,1.5042872636596,0.220012872976258,0.92912772787085
59,AT1G01540,-0.0170076005859155,6.74493209651913,0.0138825261064941,0.906207008075108,1
60,AT1G01550,-0.0296330278940304,7.34614666990415,0.0462947434597112,0.829640913001842,1
61,AT1G01560,1.23192148279368,1.21397301659634,3.54214970803815,0.059827874463403,0.762652501954107
62,AT1G01570,-0.204827095607341,1.75499737935248,0.411880520031436,0.521016567634256,0.979277459095875
63,AT1G01580,1.06525798350141,7.25673722381097,7.79332523129931,0.00524395951869182,0.355690892655885
64,AT1G01590,-1.00184046895208,0.530112921310038,1.25657007020731,0.262301329410855,0.937411427991592
65,AT1G01600,-0.665430926561942,2.71298191386681,4.62506791073261,0.0315080139843333,0.656128082960591
66,AT1G01610,-0.144770937378426,6.25173465607568,0.921400012842476,0.337107642937145,0.95360309353788
67,AT1G01620,0.134910202365226,9.82845918386589,0.972199441835215,0.324132256386644,0.949647408548602
68,AT1G01630,-0.00448860739664724,5.39840727304,0.000923072501013422,0.975762313826178,1
69,AT1G01640,0.681970793895047,3.52532667116926,9.66425230499769,0.00187888214728157,0.228910474943805
70,AT1G01650,0.237216128986846,5.65176072472102,2.824876273113,0.0928140445217891,0.824900078966409
71,AT1G01660,0.405384606249336,1.40193981906614,0.881790282681244,0.347711803909563,0.955039395451299
72,AT1G01670,0.383676735746074,1.44220798887284,0.710214318434378,0.399372672553887,0.960508381660911
73,AT1G01680,0.881132072691907,0.686293568483856,0.769334288668251,0.380423074259826,0.959610857831112
74,AT1G01690,-0.544907395283019,2.19225838438692,1.77263045328198,0.183056874488182,0.909309865249016
75,AT1G01695,-1.97323819347724,-0.401166440623025,2.14179558329307,0.14333403895475,0.886139339556102
76,AT1G01700,0.219908600407262,1.54032871982416,0.228557674962904,0.632595359106698,0.988893785004003
77,AT1G01710,-0.0279595126110484,5.29406444402599,0.0423348628394606,0.836982782030996,1
78,AT1G01720,-0.558668957295583,5.20781960526254,16.1108960150834,5.97393384500134e-05,0.0316603558950459
79,AT1G01725,0.398605205657922,2.88822477746842,2.29582802550793,0.12972201492978,0.866541615566387
80,AT1G01730,0.174969462433223,4.84940637056646,1.2290740135284,0.267587195989208,0.938705021525729
81,AT1G01740,-0.284251808968876,2.52940848574407,0.70410281857356,0.40140851233544,0.960508381660911
82,AT1G01750,0.273326465349086,2.95418626784745,1.52808714817342,0.216399756850209,0.925238980534135
83,AT1G01760,0.0668695428051726,2.48787977426222,0.0480393908697909,0.826510690065369,1
84,AT1G01770,-0.103972172463466,4.94261464398113,0.441246902417394,0.506521241879447,0.979240180312815
85,AT1G01780,0.164555633223327,3.89590607293819,0.74879311205124,0.386858607835855,0.959610857831112
86,AT1G01790,-0.218755023682027,8.42463360343111,1.7265897018972,0.188847010721118,0.913176957179967
87,AT1G01800,-0.110019512683986,5.78876578823607,1.03828199588918,0.308221371076441,0.943399486781617
88,AT1G01810,-3.45056715738506,-0.600793808898679,4.38699871836201,0.0362140086107216,0.681898681147702
89,AT1G01820,0.136505316910392,5.46906765285833,0.763853483739068,0.382125268717457,0.959610857831112
90,AT1G01830,-0.0221074070790455,4.54654552161945,0.0163972013843541,0.898108171840883,1
91,AT1G01840,-0.472016950121196,0.120435951757387,0.290226592184055,0.590075361275299,0.987414903277621
92,AT1G01860,-0.437930061008463,3.4956972516841,3.41376494192145,0.0646547770864788,0.770232539753625
93,AT1G01880,0.219995505858723,1.24606227121113,0.187502510518424,0.665003436113464,0.992262980363371
94,AT1G01900,-0.0491619769388143,3.13355088315654,0.0379376756192897,0.845568340914383,1
95,AT1G01910,0.158770704004878,5.25563513299156,1.48013002368813,0.223754179999444,0.929499096488523
96,AT1G01920,0.235934714798133,4.14470739677471,1.29820857907158,0.254540706672812,0.937411427991592
97,AT1G01930,-0.109553277269623,4.18360887004806,0.453605197064022,0.500627857326208,0.978376911463155
98,AT1G01940,-0.427557840305581,2.4981681408479,2.36553636380182,0.124041273167678,0.859778627877536
99,AT1G01950,-0.18914536147619,4.86327301800119,1.81744968718013,0.177617147591945,0.903736143027287
100,AT1G01960,-0.0188693096311712,7.26888950421579,0.0254039816385907,0.873364559107669,1
101,AT1G01970,-0.146613398541074,4.66918863973783,0.847778217063578,0.357181630117151,0.957924390644229
103,AT1G01990,0.110023629624758,4.46942449054814,0.42045755566761,0.516708821158379,0.979240180312815
104,AT1G02000,0.0540002981565024,4.08753420281645,0.0585614298670194,0.808784277931029,1
105,AT1G02010,0.037433761703179,4.31024397228914,0.0467692128295738,0.828783599517965,1
106,AT1G02020,0.24112730714471,4.44485426584816,1.50488249050047,0.219921636652526,0.92912772787085
107,AT1G02030,0.308396138994189,-0.663136006869019,0.0533593531624428,0.817317571298825,1
109,AT1G02050,0.0643079011712744,3.28315331404581,0.0789420291232652,0.778736292280853,0.999163874989434
110,AT1G02060,0.372572647052243,3.94132782875012,3.12457062245787,0.0771201859935005,0.803033736871686
