,genes,logFC,logCPM,LR,PValue,FDR
1,AT1G01010,0.313652131660132,3.74026079206413,2.91458156746081,0.0877821790137643,0.757427210373871
2,AT1G01020,0.261980528368177,3.72923150315231,2.53180417924165,0.111572580134864,0.78639472871567
3,AT1G01030,0.191317669546304,2.13512961270079,0.487453984256962,0.48506522721541,0.942261316937549
4,AT1G01040,-0.0397974254903897,6.01559616913063,0.156924625585804,0.692003868444327,0.974882383717166
5,AT1G01050,-0.161510390649406,6.45228688025572,2.22685661963085,0.135629531158935,0.815390053177291
6,AT1G01060,-0.140262538730303,9.47514849311388,1.87557581039753,0.170837838891164,0.833736865370889
7,AT1G01070,0.209565433122823,4.90171551238402,1.96913199790029,0.160540025634664,0.831689237949758
9,AT1G01080,-0.0941483524782002,5.28766195439118,0.565156933096324,0.452189866030974,0.936104258463
10,AT1G01090,-0.0808192704680406,7.6196885861352,0.777222248465925,0.377992023478253,0.914136180824646
11,AT1G01100,-0.0946642206924492,7.44781475368669,0.442644642405822,0.505848753407994,0.946047755051083
12,AT1G01110,-0.194999799099921,2.82717230769897,0.593684815543575,0.44099775041182,0.932320480508633
14,AT1G01120,-0.321020647029802,6.39144253078307,2.31960460136875,0.127752496039113,0.801075509110858
15,AT1G01130,0.601077786061248,1.20226744023383,2.21110553784518,0.137020446994772,0.816924784359423
16,AT1G01140,-0.0390122806572802,5.8392353035384,0.0765311891434379,0.782054466016427,0.983079144305444
17,AT1G01150,0.410991282774273,-0.788699471535609,0.092499096178245,0.761023792999924,0.981103905223826
18,AT1G01160,-0.0999399551414353,4.88532136633205,0.824223790227423,0.363948116078033,0.909762852953352
19,AT1G01170,-0.283383832567607,4.82297002997236,4.22285403841878,0.0398830226341086,0.653385005270841
20,AT1G01180,-0.109660604013357,4.58839706588169,0.255443188931006,0.613268172865448,0.963829950895473
21,AT1G01190,0.326483549010675,2.35156494598822,0.893633684406213,0.344494509849538,0.906409512792411
22,AT1G01200,0.455766119404629,1.22685744319083,1.08241122023748,0.298158775173718,0.895151943762591
23,AT1G01210,0.0482271774606142,2.41763335790124,0.0406657380591673,0.84018450794919,0.989204396056153
24,AT1G01220,0.0259103464630987,5.09388667699536,0.0520786964233233,0.819484874279901,0.987137954574367
25,AT1G01225,-0.242630465258007,1.96870203374495,0.72611502480399,0.394145365993149,0.918773167650956
26,AT1G01230,-0.139585437031863,4.10914894115663,1.14119204019209,0.285400584292308,0.89236091245024
27,AT1G01240,-0.0692723321138033,5.71195810893358,0.3922773523743,0.531104751328284,0.949201191327416
28,AT1G01250,-0.687379914851574,0.365316417803835,1.02101551182635,0.312278247957886,0.898285871187918
29,AT1G01260,0.118883919902871,4.27451597467421,0.631682521907809,0.426738824717802,0.927643341246761
31,AT1G01290,0.296746402161115,3.37682816540537,3.50649335878541,0.0611287114796805,0.710647730612922
32,AT1G01300,0.153561576924328,5.24855266513371,1.34328321977977,0.246455794702552,0.882335181139016
35,AT1G01320,-0.0171637450425832,8.90693271149166,0.0346195293052656,0.85239516866645,0.990384026808945
36,AT1G01340,-0.218247963007076,4.50950344829921,1.899407895687,0.168144609316197,0.833736865370889
37,AT1G01350,-0.081758242458708,4.12500847907149,0.308371265654962,0.578681365713172,0.957647640261791
38,AT1G01355,-0.5107471616676,-0.499654430970725,0.226350861076071,0.634242911200263,0.966568925842579
39,AT1G01360,-0.134033904623098,4.18945316317213,0.960182763935142,0.327140834846086,0.904581837092703
40,AT1G01370,-0.54030501547214,1.80437174148778,2.57145185466561,0.108807828698664,0.784356159176159
41,AT1G01380,-0.214424285795276,0.188804318356887,0.122470257470576,0.726370587241825,0.976746447760749
42,AT1G01390,0.261972355331487,2.61560434472008,0.815582767241933,0.366474834513255,0.910681625157673
45,AT1G01420,-0.268620759632805,3.73971736215367,1.63253220726693,0.201353166170553,0.853521371798988
46,AT1G01430,-0.105671200993442,6.67469178976559,1.10344292442054,0.29351176600665,0.895015761631132
47,AT1G01440,-0.0648954358738963,4.85848218607359,0.243529551150838,0.621668428704337,0.96480502373666
48,AT1G01450,0.388394349418477,4.01739126388052,6.43618529607219,0.011181851769817,0.462074221575732
49,AT1G01453,-0.670119449916867,1.34565702255691,2.04304248893642,0.152903554536682,0.82922554968056
51,AT1G01470,-0.0130373944082593,5.03838619565959,0.0105590890545617,0.918155493697591,0.998270394943847
53,AT1G01480,-0.433372926452208,0.966954928137317,0.774401624650663,0.378858809486468,0.914136180824646
54,AT1G01490,-0.0911572203579258,6.27023126927815,0.863034299905395,0.352890955161564,0.907035294202894
