,genes,logFC,logCPM,LR,PValue,FDR
1,AT1G01010,-0.116769706627422,3.58469554401772,0.710430430328366,0.399300956489868,0.883962842562694
2,AT1G01020,0.027613708971104,3.63526323725359,0.0351479305781606,0.851286017487543,0.983420563893126
3,AT1G01030,0.483548600394486,2.34175468228613,8.36100596708345,0.003833582831666,0.148206385181829
4,AT1G01040,0.12382761673663,6.08738397502815,2.44736571150722,0.117722284155223,0.691609373438934
5,AT1G01050,-0.0817634162707384,6.42231347756937,0.998524896246169,0.317667703237112,0.851200568823886
6,AT1G01060,-0.0972718271743637,9.44899102618965,1.68295422688459,0.194532367318424,0.778443638749626
7,AT1G01070,-0.0664949356070534,4.76624267364964,0.256943068827876,0.612228128812774,0.942528983493246
9,AT1G01080,0.0726609173685327,5.36533288746278,0.57358194958049,0.448839045518641,0.899323219575841
10,AT1G01090,0.0793564214399404,7.67954278846354,1.19104146927488,0.275119580229957,0.832136893918664
11,AT1G01100,0.0620115327979731,7.50165717668674,0.250181691585716,0.616947171882761,0.942979171719878
12,AT1G01110,0.0838426993452489,2.93407869335443,0.201808865501981,0.653264726573522,0.949702300002201
14,AT1G01120,0.25411688179026,6.65927077000365,1.48860681459768,0.222432746286067,0.795991661287222
15,AT1G01130,0.328351668182914,1.20480343335362,1.43051158695351,0.231680965377334,0.805751738098396
16,AT1G01140,0.0614548643597765,5.8544599933767,0.319201291732142,0.572088035142072,0.935667509002267
17,AT1G01150,1.16966624394276,-0.798730091888288,1.38841086763195,0.238673649421288,0.811344422573479
18,AT1G01160,-0.103544446325025,4.8622076311687,1.42089344488946,0.233256402413359,0.806942246167826
19,AT1G01170,-0.144193125082245,4.80356560867265,1.8570309195357,0.172967866166957,0.758218733431208
20,AT1G01180,0.0848391702220524,4.63042396554336,0.308238630034094,0.578763048853793,0.936702636508664
21,AT1G01190,0.272572152894787,2.58623508169945,1.7767688736228,0.182546591211594,0.768541527535572
22,AT1G01200,-0.242851126511515,1.05739964583346,0.652467794253399,0.419231758113585,0.890361786376424
23,AT1G01210,-0.00345508093183613,2.38513684437101,0.000387574225978682,0.9842931371036,0.997991455179865
24,AT1G01220,0.0280968735396583,5.11255998165232,0.115186884943187,0.734314494042729,0.964486957923483
25,AT1G01225,-0.46288438819912,1.81997014706307,5.16455196093422,0.0230524030736894,0.389679395309878
26,AT1G01230,0.0610092080127141,4.17990471983973,0.432009022918446,0.511004794368826,0.918572540952322
27,AT1G01240,0.0230174444486078,5.72653179945218,0.0722507392420262,0.788087459514537,0.973472574699624
28,AT1G01250,0.859194473213244,0.692535381749878,4.36675701631032,0.0366466727667096,0.473833424060421
29,AT1G01260,0.0599155286667376,4.26548073561137,0.295364692341744,0.586803041958204,0.937031099316203
31,AT1G01290,0.165103939255068,3.37125881852358,1.34510300751267,0.24613604348851,0.815676135425073
32,AT1G01300,0.146915259602711,5.32174178547515,2.23183537949017,0.135193169630618,0.713813201245198
35,AT1G01320,0.0534277699407265,8.96765288512004,0.422904856377272,0.515491124871927,0.919429128068409
36,AT1G01340,0.168793827024006,4.64461350620387,1.28102217987536,0.2577090647377,0.822409578985967
37,AT1G01350,-0.0587983453352179,4.12828103977664,0.243139662436102,0.621947624834364,0.944054682719726
38,AT1G01355,-0.341439821569054,-0.621993053245182,0.247936881965913,0.61853154323823,0.942979171719878
39,AT1G01360,0.0881408590137814,4.26664642096542,0.685619441262805,0.407658379778627,0.885389374979467
40,AT1G01370,-0.124809368190059,1.80670766536573,0.303233312991402,0.581862488311014,0.936804856403306
41,AT1G01380,0.189617823018251,0.284838102176749,0.195952147399971,0.65800818841261,0.950919784375775
42,AT1G01390,0.276766400419657,2.74839178358782,1.99146404314105,0.158187884930747,0.743125815642682
45,AT1G01420,0.0881786208500831,3.85489337152236,0.292596797993237,0.588561226662063,0.937554966394294
46,AT1G01430,0.109970246443307,6.77847959377608,1.51165892891256,0.21888612295806,0.794549130237658
47,AT1G01440,0.103545469035396,4.90956173385398,1.29762915392487,0.254646740427033,0.819533897090153
48,AT1G01450,0.137298558953732,3.94207865494684,1.37660513694118,0.240680263453584,0.812292154829261
49,AT1G01453,-1.52321480213,1.03357775277052,18.5515889962876,1.65367317997591e-05,0.00407682014736764
51,AT1G01470,-0.272770516549635,4.90978206123657,8.90012402836958,0.00285151286814266,0.125935877691159
53,AT1G01480,0.258307023499982,1.11725432548827,0.465260793522621,0.495175542862669,0.914072543265628
54,AT1G01490,-0.0813239167737531,6.23879631730742,1.26316252037685,0.261053316485817,0.824712281542043
55,AT1G01500,0.33174744172288,2.8588358364905,4.95605719186452,0.0259994233419694,0.417127061296255
56,AT1G01510,-0.0178535594118951,5.87313470485169,0.0539787631297379,0.816279148882097,0.977394670699373
57,AT1G01520,0.242316520045997,2.98486206007858,1.67846090968522,0.195129086985404,0.778443638749626
59,AT1G01540,0.0520484512795783,6.7913280533509,0.435713002754335,0.509198897345482,0.917657800531034
60,AT1G01550,0.00926900940289866,7.29465727884376,0.0107433327312201,0.917447067889158,0.992597754015631
61,AT1G01560,0.492501412635249,0.912146980150016,1.33166174254268,0.248509807118145,0.817350832853072
62,AT1G01570,0.286505153949713,1.51586040502678,1.30523633591639,0.253258957292646,0.818170776538676
63,AT1G01580,1.68874267013206,6.83192408505293,25.1162495877224,5.39760997652333e-07,0.000302742134154031
64,AT1G01590,1.01847756064412,0.808131757659737,5.48685330152208,0.0191599974334564,0.358902375842172
65,AT1G01600,-0.0464765050627949,2.43338873925206,0.056271242467993,0.812489532024912,0.976151949638782
66,AT1G01610,0.162398325544687,6.16393646266405,3.00653130082959,0.0829295802120202,0.63620998384391
67,AT1G01620,0.244425549855409,9.83336663174087,5.38705080129205,0.0202867298947764,0.369702959510572
68,AT1G01630,-0.0630432641792323,5.33284231122437,0.309526980160577,0.577970594333084,0.936616816477922
69,AT1G01640,0.0434973335281096,3.2985492639359,0.0921317639096166,0.761484352967672,0.968593023452958
70,AT1G01650,0.112218673295162,5.65588871581668,1.68256616395588,0.194583818384296,0.778443638749626
71,AT1G01660,-0.163402082280521,1.71599793452129,0.369780835521517,0.543123755786979,0.927175353406249
72,AT1G01670,-0.0382750317514682,1.37062148971858,0.0217661992040306,0.882710764430456,0.98642512021496
73,AT1G01680,0.792327320646419,0.402343503122301,3.34207319030604,0.0675294733450397,0.597046366622436
74,AT1G01690,0.0459010029189223,2.32184180454836,0.0422778811761617,0.837090989094,0.981197221770675
75,AT1G01695,-0.346489544500461,-0.418330805584288,0.382814514705087,0.536100791493886,0.925208254316695
76,AT1G01700,-0.277225438728517,1.44179491015919,0.9498138944118,0.329766673409328,0.855729471778398
77,AT1G01710,-0.101286522122093,5.28727465431965,1.42275664927736,0.232950204547898,0.806254920197695
78,AT1G01720,-0.491301904516452,5.38796089882867,14.2078018901548,0.000163690419675017,0.0201498263350059
79,AT1G01725,0.0226919596594498,2.91247698269799,0.0242588515119788,0.876228087129044,0.985729047052452
80,AT1G01730,0.0360622980893365,4.84544506068913,0.14306817005469,0.705249688986316,0.95910881170265
81,AT1G01740,0.00335512001446023,2.42961709939133,0.000236547439353529,0.987728940400418,0.998858901026896
82,AT1G01750,-0.188687823370105,3.29769942350403,1.64173919681771,0.200087010347179,0.783344970361529
83,AT1G01760,0.372869378049269,2.6675404703376,4.94173086200057,0.0262157717326784,0.418170161746464
84,AT1G01770,0.155365544093069,4.98397969274241,2.23704234860495,0.134738486437831,0.713175293297355
85,AT1G01780,-0.171234046157269,3.88667727401664,1.40924901523228,0.23518110097985,0.809270596249432
86,AT1G01790,0.13711283228166,8.37373582577984,1.23057968417768,0.267294332922634,0.829144361080907
87,AT1G01800,-0.027731588162578,5.83927658212442,0.141761107811706,0.706536472038191,0.959305640159949
88,AT1G01810,-0.149543245519688,-0.802623335610678,0.0252851268613608,0.873658649734507,0.985469951942558
89,AT1G01820,-0.00780920294572629,5.46005411998029,0.007645787221362,0.930321622906644,0.992695467237796
90,AT1G01830,-0.0651652744701003,4.46008267134644,0.520531729438593,0.470614949463737,0.907590526268683
91,AT1G01840,-0.256922425509764,0.0858139740560359,0.280372970183427,0.596456863042914,0.938946682641067
92,AT1G01860,-0.0113655515185893,3.42629311538505,0.00642516362866807,0.936112294938203,0.993010458219791
93,AT1G01880,-0.450083490388122,1.37503094224825,2.69686569723572,0.100545733252757,0.668675045468939
94,AT1G01900,-0.028672085826828,3.01944857028056,0.0307657912627946,0.860763926721313,0.984524703670959
95,AT1G01910,-0.0429803520997601,5.37707812869804,0.291274546171149,0.589404926512418,0.937554966394294
96,AT1G01920,-0.00026709391330321,4.13000964366566,3.73315741164504e-06,0.998458377846485,1
97,AT1G01930,0.0281367652012799,4.14459794799457,0.0869853536658249,0.768045218733064,0.969323387375184
98,AT1G01940,-0.437182850030604,2.47364504909041,4.96605995938618,0.0258494674369933,0.416400349693633
99,AT1G01950,0.0262545091398404,4.7966757793152,0.0986602170134896,0.753443388489578,0.966531140722057
100,AT1G01960,0.102561990448955,7.28088363878989,1.88156560770621,0.170156312864578,0.755916237540205
101,AT1G01970,0.0312491879210228,4.65079107490769,0.124064753116212,0.724667078485228,0.96351524321717
103,AT1G01990,-0.0627844603124268,4.58250869544675,0.280170285922834,0.596589627040423,0.938946682641067
104,AT1G02000,0.181308817531537,4.09822735424267,1.95359198029647,0.162200305912552,0.747250413457644
105,AT1G02010,-0.0266264108559455,4.24466146589219,0.066375345742534,0.79668928552113,0.974790916869952
106,AT1G02020,0.0999211973756505,4.32740425165201,1.13323995007656,0.287085305396159,0.838261144041351
107,AT1G02030,-0.872754284100274,-0.134832040887827,1.49347206927592,0.221678529188939,0.795880865416535
109,AT1G02050,-0.195024985305469,3.5318001085953,2.41425749390454,0.120234967379887,0.696360691255373
110,AT1G02060,0.0992144659262948,3.94594875334253,0.43749196458727,0.508335467859049,0.917485929178436
111,AT1G02065,0.383041122887127,1.35425439855407,1.44457161412667,0.229400984210621,0.804478323288827
112,AT1G02070,0.0993537836738904,-0.418556430627246,0.0307848334797853,0.860721284131599,0.984524703670959
114,AT1G02080,0.0470345604847033,7.99493826659689,0.274758451676538,0.600157476905338,0.939243938231219
115,AT1G02090,-0.183415853331375,4.42004862169301,3.68843251789889,0.0547910848453976,0.558958713973813
116,AT1G02100,-0.0169937627196539,5.66788837382442,0.0579182661059097,0.809816983727488,0.975931436542936
