Library #	Bacteria	Tissue	Time	flg22	Experiment	Group
RST001	syncom	Root	T1	flg22minus	e1	syncom.Root.T1.flg22minus
RST002	syncom	Root	T1	flg22minus	e1	syncom.Root.T1.flg22minus
RST003	syncom	Root	T1	flg22minus	e1	syncom.Root.T1.flg22minus
RST004	syncom	Root	T12	flg22minus	e1	syncom.Root.T12.flg22minus
RST005	syncom	Root	T12	flg22minus	e1	syncom.Root.T12.flg22minus
RST006	syncom	Root	T12	flg22minus	e1	syncom.Root.T12.flg22minus
RST007	nb	Root	T1	flg22minus	e1	nb.Root.T1.flg22minus
RST008	nb	Root	T1	flg22minus	e1	nb.Root.T1.flg22minus
RST009	nb	Root	T1	flg22minus	e1	nb.Root.T1.flg22minus
RST010	nb	Root	T12	flg22minus	e1	nb.Root.T12.flg22minus
RST011	nb	Root	T12	flg22minus	e1	nb.Root.T12.flg22minus
RST012	nb	Root	T12	flg22minus	e1	nb.Root.T12.flg22minus
RST013	hk	Root	T1	flg22minus	e1	hk.Root.T1.flg22minus
RST014	hk	Root	T1	flg22minus	e1	hk.Root.T1.flg22minus
RST015	hk	Root	T1	flg22minus	e1	hk.Root.T1.flg22minus
RST016	hk	Root	T12	flg22minus	e1	hk.Root.T12.flg22minus
RST017	hk	Root	T12	flg22minus	e1	hk.Root.T12.flg22minus
RST018	hk	Root	T12	flg22minus	e1	hk.Root.T12.flg22minus
RST019	syncom	Root	T1	flg22plus	e1	syncom.Root.T1.flg22plus
RST020	syncom	Root	T1	flg22plus	e1	syncom.Root.T1.flg22plus
RST021	syncom	Root	T1	flg22plus	e1	syncom.Root.T1.flg22plus
RST022	syncom	Root	T12	flg22plus	e1	syncom.Root.T12.flg22plus
RST023	syncom	Root	T12	flg22plus	e1	syncom.Root.T12.flg22plus
RST024	syncom	Root	T12	flg22plus	e1	syncom.Root.T12.flg22plus
RST025	nb	Root	T1	flg22plus	e1	nb.Root.T1.flg22plus
RST026	nb	Root	T1	flg22plus	e1	nb.Root.T1.flg22plus
RST027	nb	Root	T1	flg22plus	e1	nb.Root.T1.flg22plus
RST028	nb	Root	T12	flg22plus	e1	nb.Root.T12.flg22plus
RST029	nb	Root	T12	flg22plus	e1	nb.Root.T12.flg22plus
RST030	nb	Root	T12	flg22plus	e1	nb.Root.T12.flg22plus
RST032	hk	Root	T1	flg22plus	e1	hk.Root.T1.flg22plus
RST033	hk	Root	T1	flg22plus	e1	hk.Root.T1.flg22plus
RST034	hk	Root	T12	flg22plus	e1	hk.Root.T12.flg22plus
RST035	hk	Root	T12	flg22plus	e1	hk.Root.T12.flg22plus
RST036	hk	Root	T12	flg22plus	e1	hk.Root.T12.flg22plus
RST037	syncom	Root	T1	flg22minus	e2	syncom.Root.T1.flg22minus
RST038	syncom	Root	T1	flg22minus	e2	syncom.Root.T1.flg22minus
RST040	syncom	Root	T12	flg22minus	e2	syncom.Root.T12.flg22minus
RST041	syncom	Root	T12	flg22minus	e2	syncom.Root.T12.flg22minus
RST042	syncom	Root	T12	flg22minus	e2	syncom.Root.T12.flg22minus
RST043	nb	Root	T1	flg22minus	e2	nb.Root.T1.flg22minus
RST044	nb	Root	T1	flg22minus	e2	nb.Root.T1.flg22minus
RST045	nb	Root	T1	flg22minus	e2	nb.Root.T1.flg22minus
RST046	nb	Root	T12	flg22minus	e2	nb.Root.T12.flg22minus
RST047	nb	Root	T12	flg22minus	e2	nb.Root.T12.flg22minus
RST049	hk	Root	T1	flg22minus	e2	hk.Root.T1.flg22minus
RST050	hk	Root	T1	flg22minus	e2	hk.Root.T1.flg22minus
RST051	hk	Root	T1	flg22minus	e2	hk.Root.T1.flg22minus
RST052	hk	Root	T12	flg22minus	e2	hk.Root.T12.flg22minus
RST053	hk	Root	T12	flg22minus	e2	hk.Root.T12.flg22minus
RST054	hk	Root	T12	flg22minus	e2	hk.Root.T12.flg22minus
RST055	syncom	Root	T1	flg22plus	e2	syncom.Root.T1.flg22plus
RST056	syncom	Root	T1	flg22plus	e2	syncom.Root.T1.flg22plus
RST057	syncom	Root	T1	flg22plus	e2	syncom.Root.T1.flg22plus
RST058	syncom	Root	T12	flg22plus	e2	syncom.Root.T12.flg22plus
RST059	syncom	Root	T12	flg22plus	e2	syncom.Root.T12.flg22plus
RST060	syncom	Root	T12	flg22plus	e2	syncom.Root.T12.flg22plus
RST061	nb	Root	T1	flg22plus	e2	nb.Root.T1.flg22plus
RST062	nb	Root	T1	flg22plus	e2	nb.Root.T1.flg22plus
RST063	nb	Root	T1	flg22plus	e2	nb.Root.T1.flg22plus
RST064	nb	Root	T12	flg22plus	e2	nb.Root.T12.flg22plus
RST065	nb	Root	T12	flg22plus	e2	nb.Root.T12.flg22plus
RST066	nb	Root	T12	flg22plus	e2	nb.Root.T12.flg22plus
RST068	hk	Root	T1	flg22plus	e2	hk.Root.T1.flg22plus
RST069	hk	Root	T1	flg22plus	e2	hk.Root.T1.flg22plus
RST070	hk	Root	T12	flg22plus	e2	hk.Root.T12.flg22plus
RST071	hk	Root	T12	flg22plus	e2	hk.Root.T12.flg22plus
RST072	hk	Root	T12	flg22plus	e2	hk.Root.T12.flg22plus
RST074	syncom	Root	T1	flg22minus	e3	syncom.Root.T1.flg22minus
RST075	syncom	Root	T1	flg22minus	e3	syncom.Root.T1.flg22minus
RST076	syncom	Root	T12	flg22minus	e3	syncom.Root.T12.flg22minus
RST077	syncom	Root	T12	flg22minus	e3	syncom.Root.T12.flg22minus
RST078	syncom	Root	T12	flg22minus	e3	syncom.Root.T12.flg22minus
RST080	nb	Root	T1	flg22minus	e3	nb.Root.T1.flg22minus
RST081	nb	Root	T1	flg22minus	e3	nb.Root.T1.flg22minus
RST082	nb	Root	T12	flg22minus	e3	nb.Root.T12.flg22minus
RST084	nb	Root	T12	flg22minus	e3	nb.Root.T12.flg22minus
RST085	hk	Root	T1	flg22minus	e3	hk.Root.T1.flg22minus
RST086	hk	Root	T1	flg22minus	e3	hk.Root.T1.flg22minus
RST087	hk	Root	T1	flg22minus	e3	hk.Root.T1.flg22minus
RST088	hk	Root	T12	flg22minus	e3	hk.Root.T12.flg22minus
RST089	hk	Root	T12	flg22minus	e3	hk.Root.T12.flg22minus
RST090	hk	Root	T12	flg22minus	e3	hk.Root.T12.flg22minus
RST091	syncom	Root	T1	flg22plus	e3	syncom.Root.T1.flg22plus
RST092	syncom	Root	T1	flg22plus	e3	syncom.Root.T1.flg22plus
RST093	syncom	Root	T1	flg22plus	e3	syncom.Root.T1.flg22plus
RST094	syncom	Root	T12	flg22plus	e3	syncom.Root.T12.flg22plus
RST095	syncom	Root	T12	flg22plus	e3	syncom.Root.T12.flg22plus
RST096	syncom	Root	T12	flg22plus	e3	syncom.Root.T12.flg22plus
RST097	nb	Root	T1	flg22plus	e3	nb.Root.T1.flg22plus
RST098	nb	Root	T1	flg22plus	e3	nb.Root.T1.flg22plus
RST099	nb	Root	T1	flg22plus	e3	nb.Root.T1.flg22plus
RST100	nb	Root	T12	flg22plus	e3	nb.Root.T12.flg22plus
RST101	nb	Root	T12	flg22plus	e3	nb.Root.T12.flg22plus
RST102	nb	Root	T12	flg22plus	e3	nb.Root.T12.flg22plus
RST103	hk	Root	T1	flg22plus	e3	hk.Root.T1.flg22plus
RST104	hk	Root	T1	flg22plus	e3	hk.Root.T1.flg22plus
RST106	hk	Root	T12	flg22plus	e3	hk.Root.T12.flg22plus
RST107	hk	Root	T12	flg22plus	e3	hk.Root.T12.flg22plus
RST108	hk	Root	T12	flg22plus	e3	hk.Root.T12.flg22plus
RST110	syncom	Shoots	T1	flg22minus	e1	syncom.Shoots.T1.flg22minus
